Race No.,Universe,Text ID,WPM,Accuracy,Epoch
118,play,736,87.0262,0.9695,1760357862.0
119,play,218,116.7647,0.9841,1760357869.0
120,play,949,117.9827,0.9535,1760357878.0
121,play,1881,113.0876,1.0,1760357888.0
122,play,1592,99.7367,0.9875,1760357907.0
123,play,1420,108.2651,0.9894,1760357939.0
124,play,1753,79.0963,0.9623,1760357956.0
125,play,246,105.0164,0.9846,1760357964.0
126,play,1003,127.4985,0.9426,1760357975.0
127,play,1684,93.5803,0.9632,1760357996.0
128,play,1349,106.1794,0.9574,1760358006.0
129,play,2090,121.4951,0.9894,1760358035.0
130,play,1066,107.2324,0.9235,1760358054.0
131,play,1021,98.7424,0.9539,1760369470.0
132,play,1955,106.9321,0.9742,1760456004.0
133,play,758,122.0426,0.9877,1760456022.0
134,play,112,103.439,1.0,1760456035.0
135,play,1503,103.9883,0.9924,1760456066.0
136,play,576,78.6142,0.987,1760456078.0
137,play,417,120.8052,0.9717,1760456103.0
138,play,208,87.0026,1.0,1760456108.0
139,play,1811,116.0025,0.9657,1760456167.0
140,play,373,76.0965,1.0,1760456186.0
141,play,253,88.1887,0.9697,1760456196.0
142,play,1697,111.0797,0.9444,1760456204.0
143,play,2253,116.4718,0.9913,1760456228.0
144,play,1830,92.7337,1.0,1760456242.0
145,play,1881,102.3028,1.0,1760456252.0
146,play,2169,106.3477,0.9873,1760456310.0
147,play,1029,111.1626,0.9857,1760467821.0
148,play,154,84.2025,1.0,1760467834.0
149,dictionary,dict(50),125.3678,0.9847,1760538369.0
150,dictionary,dict(50),139.0093,0.9926,1760538400.0
151,play,1088,98.2581,1.0,1760705334.0
152,play,2391,97.7186,0.9874,1760705403.0
153,play,877,104.3139,1.0,1760705835.0
154,play,547,120.1351,0.9524,1760717549.0
155,dictionary,dict(50),136.5424,0.9774,1760717614.0
156,longtext,1,97.8201,0.983,1760752861.0
157,play,1865,130.5853,1.0,1760771882.0
158,play,1309,104.9611,0.972,1760774918.0
159,play,2062,81.5369,0.9851,1760774938.0
160,play,1114,103.4733,0.957,1760774949.0
161,play,1893,95.1099,0.9836,1760774969.0
162,play,935,109.8535,0.9463,1760774991.0
163,dictionary,dict(50),123.5424,0.9926,1760775057.0
164,dictionary,dict(50),123.6374,0.989,1760775084.0
165,dictionary,dict(50),112.3074,0.9524,1760775109.0
166,dictionary,dict(50),140.0548,0.988,1760775132.0
167,dictionary,dict(50),130.4287,0.9815,1760775157.0
168,dictionary,dict(50),115.6242,0.9554,1760843894.0
169,dictionary,dict(50),117.2674,0.9774,1760843921.0
170,dictionary,dict(50),107.0574,0.9102,1760843948.0
171,dictionary,dict(50),127.0656,1.0,1760843975.0
172,play,435,96.6606,1.0,1760844722.0
173,play,2488,110.7154,0.9691,1760844733.0
174,longtext,4,99.3102,0.9835,1760878921.0
175,play,533,92.3071,1.0,1760879121.0
176,play,1089,106.9465,0.9481,1760879138.0
177,play,311,141.4842,1.0,1760879147.0
178,play,535,114.6396,0.9495,1760879157.0
179,play,447,121.8078,0.9884,1760879166.0
180,play,1871,115.0505,0.9879,1760879202.0
181,play,232,131.4981,0.9804,1761046252.0
182,play,1178,137.0354,0.978,1761046281.0
183,play,1079,111.1425,0.9906,1761046293.0
184,play,866,124.9446,0.9702,1761046325.0
185,play,2139,119.9225,0.9889,1761046372.0
186,play,1760,120.2622,0.9749,1761046402.0
187,play,1967,112.8238,0.9621,1761046416.0
188,play,9,104.8666,0.9846,1761046425.0
189,play,2228,97.6076,0.9944,1761046814.0
190,play,1347,104.4499,1.0,1761046837.0
191,play,275,88.9907,1.0,1761046851.0
192,play,1139,128.4915,1.0,1761046866.0
193,play,2209,89.2872,1.0,1761046877.0
194,play,1625,61.9891,0.9375,1761125055.0
195,play,533,91.7927,1.0,1761125067.0
196,dictionary,dict(20),114.0155,1.0,1761125112.0
197,dictionary,dict(20),334.4614,1.0,1761125119.0
198,dictionary,dict(20),122.3518,0.978,1761125232.0
199,dictionary,dict(20),0.0,0.0,1761125233.0
